userID	itemID	rating
100029	nXnlexDYGyZml0ZT	10
100029	ipM6YBONYHckjLMI	9
100029	2knCAWRqPtjPPoAU	7
100029	ZenoUQ3L850QKYVe	5
100029	Ik4mMI77U9Bq2cdc	10
100029	h3As1QL6fXFt5kfc	6
100029	cJmFfhvZp3atXSvE	6
100029	4gSqZUryNNjQM6UI	3
100029	DwgiZUfGT8N4rWfJ	3
100029	Bgw5wVYtcIVIPSl4	5
100029	xBATFJy13bez2h2N	4
100029	r09yTLCgCYuKogob	6
100029	kFQspKQhZcFLVsoV	8
100029	rGUvHulqSMbtDlfS	5
100029	EzOSC7x7BpnWBcDa	6
100029	8XqarMkUHxjzlgHs	6
100029	7Wif82abGd65loGr	4
100029	SNHytxB9I3jBwpqx	4
4884	raiiiaF3ujLMWCO6	3
4884	ku1BzZRZuyFDBuzC	3
26778	wQyS773J42Tm0y3a	4
26778	TXePExBjyIlw1DDI	3
26778	MdDA8JWc9MseaIsD	4
26778	XMcdj5Lu05OrBoLD	11
46729	wRt1hEhinIKqvCYs	7
46729	2IuvjbnV2KC7wc58	38
46729	LoUB6rTVEQe54TTo	4
46729	JhdLYFtWffVT3OSO	5
46729	XIBmCrLVOOpESgwQ	74
46729	J4FAS7Xq0wInhDo7	37
46729	ZthUWGcJaoChCk3d	31
46729	1gbld8XcMm2kb75U	4
46729	IHjCgGMnDqUV48qJ	34
46729	ytUp6lLby7ZUoaHG	10
46729	80UOFR8SV2IL2Skb	3
46729	8XqarMkUHxjzlgHs	10
46729	7Wif82abGd65loGr	7
46729	SNHytxB9I3jBwpqx	3
46729	u15uulDoWMzI4IzP	8
10255	X1KT1homZZlZ3wFW	27
10255	Pe2PBW9P5J6wYFSK	3
10255	Lvg8N7k2ozJaFZwq	3
10255	l9za8d1UrhZljwYF	8
10255	xWvTC6GiXBYQaJs7	10
10255	gqlD12cEuaj1dgyu	3
10255	ZB4EiZPVttA4uuRI	9
10255	puJFIu3Of2SFgsiu	9
10255	2oMZP1rnE5PDOvvB	3
10255	yrUbi5IqlK5s0dXq	32
10255	npD2Ir6M168oJFCw	4
10255	WlFQYCOdp84GGL2J	20
10255	sP9O0dmDGnOpB4UH	5
10255	Ps8rUhz6ICNQ5I2B	4
10255	1Z5P3BjuKWzGDzoo	5
10255	qL21yUoSA3Leo3SY	3
10255	TSQXJlgWZOaVm6AO	21
10255	WypF2BvRzd2hfmv7	7
10255	9PAQogUgQFPKfpso	24
10255	Q3rRCVP3f8zJAm2e	5
10255	egIlA0RIMD6Rl0Uy	14
10255	hYDBUkFGT8axnXGa	9
10255	uIe6zJteMM1Brudt	3
10255	9KvCfGNF5v5vJnft	11
10255	5WzIFQX33PCJsIiW	17
10255	1rtul4j3ViHhsqLM	5
10255	kz8hZZnsn5oFYntC	5
10255	hajzeSPENZebBa5G	5
10255	pKuWIsf1aSBSxOVY	5
10255	DjzvYhdFwslOBZ2f	4
10255	S40yP4Kjjc1gaW9H	5
10255	TAqn2zDGMy9ME8Oh	5
10255	kqO5kHahBlzopApt	4
10255	lKgylhWdrnlNC2xx	3
10255	2GKEI3RJTfP3tM85	4
10255	WozufIiePsLBNARU	30
10255	Gb5HL3tc3oBZ06nO	11
10255	cb0dqJprmlvysUl3	4
10255	AvGKyuyjcaVOBKPY	16
10255	1dbuzDVu8z4Xkzae	3
10255	OXJCOiObYTZz0QLz	3
10255	bcrR5lXwhuUKyz0C	10
30083	ZMgkddaAdAcEZ7Ts	9
30083	iioqpCiDjxAmdRo0	9
28499	ZABdMd1NZDBARBP2	232
28499	wxTq3KFVUkULeTk5	97
28499	uf2pf2MsvPxjJ75T	4
28499	QICd0Os8QLjKn0Rq	7
28499	lBqv5nmOmM4t2TsC	3
28499	PMDlJR7ZqeSncuBj	82
28499	9dObxgayr5sgyWk1	85
28499	bYjp4cpMAZVOdBkx	34
28499	HPMuefThVardlDEs	27
28499	MdDA8JWc9MseaIsD	19
28499	XTAlmfW9AChu2x8v	3
28499	fxS1zbEhgTTVestF	187
28499	hiZOnY63Q67hWHMU	9
28499	YXJ8XuMgU69azgtP	7
28499	SchvjjnD6G6Bvi5u	30
28499	iloNRN1WRZVzt5rj	42
28499	59c5YcUgzy3P1Upf	66
13067	u0ztR7lk715Qnw7W	3
13067	ig2eUDZ6Y6p3tk4p	3
13067	15oQvCP96HHSz0XJ	3
13067	u2WasZLKFBb1rnGX	3
5489	LXU4nTomN6eelJPh	11
5489	Mc209DEzcSL5KEDa	32
285	WXV6vHi2D9OvBnQ9	4
285	tEiMo31HCbYA7h59	4
285	IKPkZLNa6KhaXXze	6
285	4slkIZhumZYWvwWL	4
285	wSFvhbSbSGYSLZph	3
285	KN0sSaTcThgpIKe5	4
3228	swQxShdTEoCg7e0T	3
3228	b4vekJ8EERtM18IV	3
6348	6c9JTPqBiKjCdicL	4
6348	nAo3Hp1qUu5ZoU6r	3
99255	bxGSh8qUc18VeUMU	5
99255	d3ZzlUEmvGYxdXUc	3
99255	9emxothc6DRepCCU	3
99255	hlj5DXo650oonvup	4
99255	cjJXzvEF4Wp6O3Nj	10
99255	27x13dpSIs6qwHqu	4
99255	bmL3jT2zwEKBgXn7	11
99255	njAZBNP9OknGX0Iq	6
99255	Ii7ff86pHFea0hzt	7
4010	C0bbVCEpPqc3Gg0K	5
4010	TYPtakPO1ELT3Cs5	4
4010	TuWoYGBPUiuAVH3I	15
4010	6hnL50aAyqezhK8e	17
4010	obPU6KiwYbvtfUvH	9
4010	Tg3jdFYty7UNSpuy	13
4010	4ACeMZl557qKottu	16
4010	IrZOclfx4d31eZ4E	3
3682	xqILUdtTkHrvkt8q	9
3682	JtcGuWZsmB2Volpa	5
3682	IKPkZLNa6KhaXXze	6
3682	4slkIZhumZYWvwWL	5
3682	cjJXzvEF4Wp6O3Nj	3
3682	b1izAoz6OzOhcwZB	5
7676	P1i3i7762urIBUKs	7
7676	MAs462qtenKEZTF5	3
7676	6JpN7Levo51pZtSE	3
7676	LXU4nTomN6eelJPh	3
7676	jJ3RkjQHgkn4ratL	3
7676	VYkwcfMPH9eHRMxU	6
7676	puJFIu3Of2SFgsiu	3
7676	1c0qoBueLYugXqQq	6
7676	fKGW7A5nG0Tmh6bG	3
7676	fAEhaIDxhuYgaZ8l	3
7676	zORL2FOggnnc1fOc	8
7676	VoHtMh3XQuGv56mS	4
7676	FWuktViQ0hdY2NlM	5
7676	WpCFDEmCMufQ9koO	9
7676	7jXzjfZo4CxXQC32	7
7676	sXa0G6U9VvtQ1nfe	5
7676	mhsu6SdsnmLiPzoa	7
7676	25PrYQXxkDgAkIFp	3
7676	t7QKZaqDoJIo92Xz	10
7676	GdRuW71Z0vlbz2TL	6
7676	1zlRbs9j8HJPc6LF	4
7676	pK43WHEUOBtqbZqm	3
7676	GKzoFJ0cpO3jAofv	11
41522	LXU4nTomN6eelJPh	9
41522	Jiwk7Zvbp3lEVnAb	28
41522	wr23WBH5iJ7GKVNG	4
41522	XMcdj5Lu05OrBoLD	3
3541	D1zPnf9y3x5salN4	9
108171	Mc209DEzcSL5KEDa	7
9508	1TBoK8eQ9EG9TULK	4
9508	dSUvw5wk58oxqbDk	11
9508	5k57tBosExKBpp1K	17
9508	hYDBUkFGT8axnXGa	3
9508	pA4GYy7eeRo60I7s	6
9508	GneYiBQdZTOPRaVg	6
9508	0JA2xmcpDWN55caD	7
9508	HWbiBda3C4BiUzFW	13
9508	fjuiqGblFP7jKDIb	19
8177	zfQCYXY2xbC0AQUD	10
8177	IKPkZLNa6KhaXXze	14
8177	Fjnn8Jb5FnDwWzKO	13
8177	IFnFqHF5sFoV99WA	12
8177	bmL3jT2zwEKBgXn7	4
28771	ypaWLpfAVMRyZ9am	4
2237	Markmpt1s8jKcnck	5
2237	5W7RTSzYz8EVHroD	38
2237	03LZ9iRhQ7uFg5le	37
2237	7ClllYnITTsDQaS4	39
2237	ypaWLpfAVMRyZ9am	3
108987	hRne7Wma0MuUJH3T	14
108987	YZI5aFNaouCezwoQ	17
108987	FWuktViQ0hdY2NlM	3
2508	KA4HKcPzVAxBeE4t	4
13566	9emxothc6DRepCCU	11
13566	56koNbl75FtXIpcy	4
13566	aFAgYVgTIS43qBbb	5
51742	wr23WBH5iJ7GKVNG	15
1859	H6w5mAryhn6q90lk	3
1859	ofmniTYf0MRkkFHU	4
1859	sqwBLoHTKE4YolWc	4
1859	MLrUwj9dk9P9uQEs	3
1859	QQVududrfSwiZ6Aq	5
1859	0rplhtI8mUMSa59h	4
1859	79LpuBCStwSOOnej	86
1859	kdSclvCphwLw8r4R	3
1859	qXl1TdYggbvNI0aE	8
1859	tXWD0vd37Ik71jx5	4
1859	trZ4wnZXWSquIVYG	5
1859	XMcdj5Lu05OrBoLD	4
4051	XQcqNi83nzK1jveu	3
4051	m81eApMW23kU4EbG	16
4051	uqvnx1TF44UHfYIx	4
4051	njAZBNP9OknGX0Iq	4
4051	Mc209DEzcSL5KEDa	3
7014	3s3OGyFZzcIQlAt9	3
97049	7ZLQs57v60nWMyLN	9
97049	XMcdj5Lu05OrBoLD	391
42024	BoH6mvWra81FMlyy	7
42024	chumx77sCYCFKLTA	3
5099	36ujJOdGQv5FACcs	8
5099	zVaurSbD85VqTSdD	3
5099	x9BqjwpbB1gugiFv	3
5099	Qaz8cnaFT8HPeLLK	26
5099	SVS9afwtPRH9SGGm	43
5099	BoH6mvWra81FMlyy	16
5099	bxGSh8qUc18VeUMU	6
5099	d3ZzlUEmvGYxdXUc	6
5099	9emxothc6DRepCCU	27
5099	FpLmL8nOOi7dGvMw	13
5099	JFXtfCuHFAQZgqIW	3
5099	ku1BzZRZuyFDBuzC	23
5099	NyGfrYUdLPiAzzjf	105
5099	XkWaj82p7ztu9Zg8	4
5099	5GZKFVULYO53NKI2	56
5099	uBWLqxkfgB87wKSK	3
5099	zO8gwg73TYVDoxWp	7
5099	KN0sSaTcThgpIKe5	5
